	74629
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT MUNICIPAL ENVIRONMENTAL RESEARCH LABORATORY	90
NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	90
DEPARTMENT OF AGRICULTURE FOREST SERVICE ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION	90
FOUNDATION	89
UNITED STATES DEPARTMENT OF LABOR MINE SAFETY AND HEALTH ADMINISTRATION	88
UNITED STATES AGENCY FOR INTERNATIONAL DEVELOPMENT	88
UNITED STATES ARMY CENTER OF MILITARY HISTORY	88
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNICAL SERVICES	88
BUNDESINSTITUT FüR OSTWISSENSCHAFTLICHE UND INTERNATIONALE STUDIEN	87
PEACE CORPS INFORMATION COLLECTION AND EXCHANGE	87
SANDIA NATIONAL LABORATORIES	86
DEPARTMENT OF AGRICULTURE AGRICULTURAL RESEARCH SERVICE	86
ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	85
UNITED STATES DEPARTMENT OF AGRICULTURE FOREIGN AGRICULTURAL SERVICE	85
UNITED STATES GEOLOGICAL SURVEY WATER RESOURCES DIVISION	85
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMICS STATISTICS AND COOPERATIVES SERVICE	85
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL OCEAN SERVICE	84
SOUTHERN FOREST EXPERIMENT STATION	84
SMALL BUSINESS ADMINISTRATION	84
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE	84
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL	84
DIVISIONS OF RESEARCH AND STATISTICS AND MONETARY AFFAIRS FEDERAL RESERVE BOARD	83
UNITED STATES SMALL BUSINESS ADMINISTRATION OFFICE OF BUSINESS DEVELOPMENT	83
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC SOUTHWEST RESEARCH STATION	83
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICES OF RESEARCH AND DEVELOPMENT	83
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	83
NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	83
UNITED STATES NAVAL INSTITUTE	83
SOCIAL SECURITY ADMINISTRATION	82
