Oak Ridge National Laboratory	58
Israel Program for Scientific Translations,	58
U.S. Dept. of Agriculture, Forest Service :	58
Transportation Research Board, National Research Council,	58
National Academy of Sciences, National Research Council,	58
G.P.O.	58
Govt. Prtg. Off.,	58
National Oceanic and Atmospheric Administration, Environmental Data and Information Service, National Climatic Center	57
U.S. Army Training Support Center, Reserve Schools Division,	57
Dept. of Commerce, Bureau of the Census,	57
National Science Foundation :	57
U.S. Marine Corps,	57
National Institutes of Health,	57
Congress of the United States, Office of Technology Assessment :	57
Southeastern Forest Experiment Station, U.S. Dept. of Agriculture, Forest Service,	57
Technical Information Division, Atomic Energy Commission,	56
Dept. of Agriculture, Forest Service, Pacific Southwest Forest and Range Experiment Station,	56
for sale by National Technical Information Service,	56
Mound Laboratory,	56
U.S. Dept. of Health, Education, and Welfare, Public Health Service, National Institutes of Health ;	56
[for sale by the] National Technical Information Service,	56
for sale by the Supt. of Docs., U.S. Govt. Print. Off.	56
