DT 378	1	
D 11	1	Defense Department
I 52	1	Interior Department
FAA 7	1	
C 7	1	Commerce Department
N 7	1	
T 3	1	Treasury Department
EP 116	1	Environmental protection Agency
NHA 3	1	
T 67	1	Treasury Department
FW 6	1	
FAA 8	1	
M 401	1	
I 1198	1	Interior Department
E 19	1	Energy Department
E 26	1	Energy Department
I 11	1	Interior Department
C 134	1	Commerce Department
L 31	1	Labor Department
I 13	1	Interior Department
PRVP 40	1	Vice President of the United States
C 28	1	Commerce Department
C 53	1	Commerce Department
N 24	1	
L 26	1	Labor Department
L 8	1	Labor Department
PR 26	1	President of the United States
I 68	1	Interior Department
WHO 1	1	
U 3	1	
HE 8202	1	Health and Human Services Department
GS 215	1	General Services Administration
A 35	1	Agriculture
T 24	1	Treasury Department
TD 6	1	Transportation Department
SI 62	1	Smithsonian Institution
JUL 3	1	
NMC 1	1	
TF 2	1	
DC 9	1	
I 43	1	Interior Department
I 191	1	Interior Department
F 5	1	
F 1400	1	
GA 4	1	Government Accountability Office
OAG 1	1	
OIE 1	1	
OUC 208	1	
OHU 1	1	
OH 1	1	
T 8	1	Treasury Department
FS 8	1	
OYR 28	1	
OCM 107	1	
OGA 98	1	
OTP 1	1	
U 3150	1	
U 2000	1	
U 2500	1	
G 55	1	
SS 11	1	
PYH 673	1	
PTR 1	1	
PCO 1	1	
PGA 1	1	
A 28	1	Agriculture
PHE 34	1	
PR 29	1	President of the United States
RP 15	1	
STH 673	1	
OED 54	1	
Y 200	1	Congress
Y 215	1	Congress
C 875	1	Commerce Department
W 87	1	
U 28	1	
EV 872	1	
OSU 1	1	
CNW 314	1	
OYY 1	1	
ONR 169	1	
L 47	1	Labor Department
RS 3	1	
N 12	1	
W 29	1	
L 14	1	Labor Department
UF 2	1	
W 26	1	
CI 2	1	
F 55	1	
T 4	1	Treasury Department
Z 3	1	
P 7	1	United States Postal Service
SB 1	1	
N 27	1	
OL 1	1	
F 13	1	
OD 218	1	
F 15	1	
I 10	1	Interior Department
C 24	1	Commerce Department
WT 1	1	
OYC 84	1	
N 4520	1	
W 54	1	
SQ 4	1	
ED 12	1	Education Department
OAD 1	1	
