9788835	m		CR 1.10:79	Statement on the fiscal year 1984 education budget / United States Commission on Civil Rights	1983	
609522053	m		CR 1.10:79	Statement on the fiscal year 1984 education budget [electronic resource] / United States Commission on Civil Rights	1983	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/12695879.html;"HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9788835.html"
6244468	m		CR 1.10:8	Schools can be desegregated	1967	
9987562	m		CR 1.10:80	Religion in the constitution, a delicate balance	[1983]	
624415023	m		CR 1.10:80	Religion in the constitution, a delicate balance [electronic resource]	[1983]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9987562.html
9980157	m		CR 1.10:81	Accommodating the spectrum of individual abilities	1983	
624420942	m		CR 1.10:81	Accommodating the spectrum of individual abilities [electronic resource]	1983	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/9980157.html
10720763	m		CR 1.10:82	Fifteen years ago : rural Alabama revisited	1984	
624414873	m		CR 1.10:82	Fifteen years ago-- rural Alabama revisited [electronic resource]	1984	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/12104796.html
40345384	m		CR 1.10:84	A citizen's guide to understanding the Voting Rights Act [microform] / United States Commission on Civil Rights	[1984]	
70046429	m		CR 1.10:84	A citizen's guide to understanding the Voting Rights Act [electronic resource] / United States Commission on Civil Rights	[1984]	http://www.law.umaryland.edu/Marshall/usccr/documents/cr11084z.pdf
11647214	m		CR 1.10:84	A Citizen's guide to understanding the Voting rights act / United States Commission on Civil Rights	[1984]	
11638929	m		CR 1.10:85	Toward an understanding of Stotts	1984	
624282040	m		CR 1.10:85	Toward an understanding of Stotts [electronic resource]	1984	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/11638929.html
12247490	m		CR 1.10:86	Directory of state and local fair housing agencies	1985	
784393617	m		CR 1.10:86	Directory of state and local fair housing agencies [electronic resource]	1985	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/12247490.html
13615297	m		CR 1.10:87	Directory of private fair housing organizations	1986	
40336058	m		CR 1.10:88	Recent activities against citizens and residents of Asian descent [microform] / U.S. Commission on Civil Rights	[1986?]	
70046456	m		CR 1.10:88	Recent activities against citizens and residents of Asian descent [electronic resource] / U.S. Commission on Civil Rights	[1986?]	http://www.law.umaryland.edu/Marshall/usccr/documents/cr11088z.pdf
40336110	m		CR 1.10:89	The economic status of Americans of southern and eastern European ancestry [microform] / United States Commission on Civil Rights	[1986]	
70046465	m		CR 1.10:89	The economic status of Americans of southern and eastern European ancestry [electronic resource] / United States Commission on Civil Rights	[1986]	http://www.law.umaryland.edu/Marshall/usccr/documents/cr11089z.pdf
22556574	m		CR 1.10:9	Education parks : appraisals of plans to improve educational quality and desegregate the schools	[1967]	http://www.law.umaryland.edu/marshall/usccr/documents/cr1109.pdf
40345386	m		CR 1.10:90	An annotated bibliography on selected fair housing issues [microform]	[1986]	
70046471	m		CR 1.10:90	An annotated bibliography on selected fair housing issues [electronic resource]	[1986]	http://www.law.umaryland.edu/Marshall/usccr/documents/cr11090z.pdf
16793314	m		CR 1.10:91	The Economic progress of black men in America	[1986]	
624421504	m		CR 1.10:91	The Economic progress of black men in America [electronic resource] / United States Commission on Civil Rights	[1986]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/17898031.html
40345387	m		CR 1.10:93	Federal enforcement of equal employment requirements [microform] / United States Commission on Civil Rights	[1987]	
784218154	m		CR 1.10:93	Federal enforcement of equal employment requirements [electronic resource] / United States Commission on Civil Rights	[1987]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/17566758.html
40336078	m		CR 1.10:94	Toward an understanding of Johnson [microform] / U.S. Commission on Civil Rights	[1987]	
70046477	m		CR 1.10:94	Toward an understanding of Johnson [electronic resource] / U.S. Commission on Civil Rights	[1987]	http://www.law.umaryland.edu/Marshall/usccr/documents/cr11094z.pdf
784214199	m		CR 1.10:94	Toward an understanding of Johnson [electronic resource] / U.S. Commission on Civil Rights	1987	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/17495088.html;"pdf version http://www.law.umaryland.edu/marshall/usccr/documents/cr11094z.pdf"
19463139	m		CR 1.10:95	The Economic status of Americans of Asian descent : an exploratory investigation	[1989]	
644722551	m		CR 1.10:95	The Economic status of Americans of Asian descent [electronic resource] : an exploratory investigation	[1989]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/19342525.html
22500706	m		CR 1.10:96	Intimidation and violence : racial and religious bigotry in America / a restatement of the United States Commission on Civil Rights	[1990]	
623032939	m		CR 1.10:96	Intimidation and violence [electronic resource] : racial and religious bigotry in America / a restatement of the United States Commission on Civil Rights	[1990]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/22500706.html
26676145	m		CR 1.10:97	Constructing Denver's new airport : are minorities and women benefiting?	[1992]	
623080023	m		CR 1.10:97	Constructing Denver's new airport [electronic resource] : are minorities and women benefiting? : a summary report of a forum held in Denver, Colorado, June 21-22, 1991	[1992]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/26676145.html
22126225	m		CR 1.11/2:1	Racism in America and how to combat it	[1970]	
1207545	m		CR 1.11/2:2	T.W.O.'s model cities plan [by Beryl A. Radin]	[1969]	
744896	m		CR 1.11:C 59/no. 1	Children in need  a study of a federally assisted program of aid to needy families with children in Cleveland and Cuyahoga County, Ohio	1966	
7164685	m		CR 1.14:Sa 2 l	School desegregation in the St. Louis and Kansas City areas : metropolitan interdistrict options : a report / prepared by the Missouri Advisory Committee to the United States Commission on Civil Rights	1981	
598234090	m		CR 1.14:Sa2l	School desegregation in the St. Louis and Kansas City areas [electronic resource] : metropolitan interdistrict options : a report / prepared by the Missouri Advisory Committee to the United States Commission on Civil Rights	1981	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/7164685.html
5048045	m		CR 1.14:T 11	School desegregation in Tacoma, Washington : a staff report of the U.S. Commission on Civil Rights	1979	
644805982	m		CR 1.14:T 11	School desegregation in Tacoma, Washington [electronic resource] : a staff report of the U.S. Commission on Civil Rights	[1979]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/5048045.html
55962589	m		CR 1.18:	Historical publications of the United States Commission on Civil Rights [electronic resource]	-2001	http://www.law.umaryland.edu/marshall/usccr/index.asp;"http://purl.access.gpo.gov/GPO/LPS58222"
43532999	m		CR 1.2/2:C 49	Civil rights issues facing the blind and visually impaired in Illinois / Illinois Advisory Committee to the United States Commission on Civil Rights	[1999]	http://purl.access.gpo.gov/GPO/LPS12892
761305202	m		CR 1.2/2:C 49	Civil rights issues facing the blind and visually impaired in Illinois [electronic resource] / Illinois Advisory Committee to the United States Commission on Civil Rights	[1999]	HathiTrust Digital Library, Full view http://catalog.hathitrust.org/api/volumes/oclc/43532999.html
784652659	m		CR 1.2/2:P 75x	Police protection of the African American community in Chicago [electronic resource] : an update / Illinois Advisory Committee to the United States Commission on Civil Rights	[1999]	HathiTrust Digital Library Full view http://catalog.hathitrust.org/api/volumes/oclc/42024528.html
44174403	m		CR 1.2:2001038607	Employment rehabilitation services in Michigan / Michigan Advisory Committee to the United States Commission on Civil Rights	2000]	http://purl.access.gpo.gov/GPO/LPS13136
44140547	m		CR 1.2:2001038608	Community concerns about law enforcement in Sonoma County / prepared by the California Advisory Committee to the United States Commission on Civil Rights	1999	http://purl.access.gpo.gov/GPO/LPS13137
44768926	m		CR 1.2:2001038665	Equal educational opportunity for Hispanic students in the Oklahoma City public schools / Oklahoma Advisory Committee to the United States Commission on Civil Rights	[2000]	http://purl.access.gpo.gov/GPO/LPS13166
46603135	m		CR 1.2:2001038666	Police practices and civil rights in New York City [electronic resource]	[2000]	http://purl.access.gpo.gov/GPO/LPS13167;"http://www.ci.nyc.ny.us/html/nypd/pdf/dclm/execsumm.pdf"
44278382	m		CR 1.2:2001038765	Native Americans in South Dakota [electronic resource] : an erosion of confidence in the justice system / South Dakota Advisory Committee to the United States Commission on Civil Rights	[2000]	http://purl.access.gpo.gov/GPO/LPS13234
45024788	m		CR 1.2:2001038766	Toward an understanding of percentage plans in higher education : are they effective substitutes for affirmative action? : a statement / by the United States Commission on Civil Rights	[2000]	http://purl.access.gpo.gov/GPO/LPS13235
44021546	m		CR 1.2:2001038813	Unequal justice : African Americans in the Virginia criminal justice system / Virginia Advisory Committee to the United States Commission on Civil Rights	2000	http://purl.access.gpo.gov/GPO/LPS13239
45087343	m		CR 1.2:2001038820	Employment opportunities for minorities in Montgomery County, Ohio / Ohio Advisory Committee to the United States Commission on Civil Rights	2000]	http://purl.access.gpo.gov/GPO/LPS13240
47293348	m		CR 1.2:2001038826	Equal housing opportunities in New York [electronic resource] : an evaluation of section 8 housing programs in Buffalo, Rochester, and Syracuse / New York Advisory Committee to the U.S. Commission on Civil Rights	[1999]	http://purl.access.gpo.gov/GPO/LPS13241
